Titulo,Peso_GB
1-2-Switch,"1,38"
30-in-1 Game Collection Volume 1,"1,36"
ACA NEOGEO THE KING OF FIGHTERS 98,"0,26"
Ace Combat 7 Skies Unknown,"13,1"
Alien_Isolation,"17,72"
Animal Crossing New Horizons,"10,78"
Another Crab's Treasure,"1,86"
Arms,"3,23"
Asphalt 9 Legends,"1,6"
Assassin's Creed III Remastered,"19,74"
Assassins Creed The Rebel Collection + 9 Dlcs,"20,27"
Astral Chain,"9,82"
Batman Arkham Asylum,"6,84"
Batman Arkham City,"11,89"
Batman Arkham Knight,"27,28"
Bayonetta 2,"12,53"
Bayonetta 3,"15,91"
BioShock 2 Remastered,"8,96"
BioShock Infinite The Complete Edition,"16,1"
BioShock Remastered,"10,28"
Blasphemous,"5,42"
Blasphemous 2,"3,72"
Bluey The Videogame,"1,96"
Borderlands 2 Game of the Year Edition,"19,52"
Borderlands Game Of The Year Edition,"11,9"
Borderlands The Pre-Sequel Ultimate Edition,"9,65"
Bratz Flaunt your fashion,"3,53"
Bravely Default II,"12,4"
Capcom Fighting Collection,"3,22"
Captain Toad Treasure Tracker,"1,89"
Captain Tsubasa Rise of New Champions,"14,89"
Carrion,"0,33"
Cars 3 Driven to Win,"4,87"
Castlevania Dominus Collection,"1,11"
Celeste,"1,53"
Chernobylite Complete Edition,"12,83"
Clubhouse Games 51 Worldwide Classics,"2,42"
Crash Bandicoot 4 Its About Time,"10,55"
Crash Bandicoot N. Sane Trilogy,"5,25"
Crash team racing nitro-fueled,"9,26"
Cult of the Lamb,"1,83"
Cuphead,"5,22"
Daemon x Machina,"6,87"
Danganronpa Decadence,"14,88"
Danganronpa V3 Killing Harmony Anniversary Edition,"5,63"
Dark-Souls-Remastered,"4,01"
Darksiders 2 Deathinitive edition,"14,24"
Daymare 1994 Sandcastle,"12,19"
Deadly Premonition Origins,"5,65"
Deadly Premonition Origins 2,"3,18"
Death's Door,"0,73"
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,"11,07"
Devil May Cry,"4,36"
Devil May Cry 2,"1,5"
Devil May Cry 3,"4,93"
Diablo 3,"24,35"
DIABLO II RESURRECTED,"8,55"
Digimon Story Cyber Sleuth Complete Edition,"4,74"
Donkey Kong Country Returns HD,"8,31"
Donkey Kong Country Tropical Freeze,"6,69"
Doom 64,"0,14"
DOOM Eternal,"20,02"
Dr Fetus' Mean Meat Machine,"0,27"
Dragon Ball FighterZ,"8,24"
Dragon Ball Sparking Zero,"7,44"
Dragon Ball Xenoverse 2,"10,76"
Dragon Quest XI S Echoes of an Elusive Age Definitive Edition [NSZ],"12,7"
Dragon's Dogma Dark Arisen [NSP],"3,26"
Dreamworks All Star Kart Racing,"3,27"
EA SPORTS FC 24,"28,32"
EA SPORTS FC 25 Standard Edition,"28,92"
EA SPORTS FC 26,"33,87"
EA SPORTS FIFA 23 Nintendo Switch Legacy Edition,"13,78"
Epic Mickey Rebrushed,"10,17"
Euro Truck Driver Simulator,"0,78"
Everybody 1-2-Switch!,"3,72"
FINAL FANTASY XII THE ZODIAC AGE [0100EB100AB42000][v0][US].nsp,"12,6"
Fire Emblem Three Houses,"12,59"
Five Nights at Freddys,"0,33"
Five Nights at Freddys 2,"0,42"
Five Nights at Freddys 3,"0,24"
Five Nights at Freddys 4,"0,44"
Five Nights at Freddys Help Wanted,"9,15"
Five Nights at Freddys Security Breach,"7,76"
Five Nights at Freddys Sister Location,"0,72"
Freddy Fazbears Pizzeria Simulator,"0,29"
Fuser,"7,14"
Gang Beasts,"2,29"
Ghostbusters The Video Game Remastered,"3,36"
Ghosts ‘n Goblins Resurrection,"3,02"
Goat Simulator 3,"1,61"
Godstrike,"0,68"
Grand Theft Auto III The Definitive Edition,"3,89"
Grand Theft Auto San Andreas The Definitive Edition,"16,99"
Grand Theft Auto Vice City The Definitive Edition,"10,26"
Hades,"5,59"
HELLO KITTY AND FRIENDS HAPPINESS PARADE,"1,24"
Hello Kitty Island Adventure,"2,37"
Hogwarts Legacy Deluxe Edition,"14,25"
Hollow Knight,"7,01"
Hollow Night Silksong,"2,61"
Human Fall Flat,"2,26"
Hyrule Warriors Age of Calamity,"10,92"
Immortals Fenyx Rising,"24,75"
It Takes Two,"12,13"
Journey to the Savage Planet,"2,42"
JUMP FORCE,"9,75"
Just Dance 2017,"12,55"
Just Dance 2018,"6,99"
Just Dance 2019,"7,5"
Just Dance 2020,"6,98"
Just Dance 2021,"6,88"
Just Dance 2022,"0,05"
Just Dance 2024,"8,73"
Just Dance 2025 Edition,"18,57"
Katana ZERO,"0,34"
Kingdoms of Amalur Re-Reckoning,"10,71"
Kirby and the Forgotten Land,"5,75"
Kirby Star Allies,"2,89"
Kirbys Return to Dream Land Deluxe,"5,36"
Kitty Rainbow,"0,24"
Legacy of Kain Soul Reaver 1&2 Remastered,"10,38"
LEGO - The Incredibles,"9,81"
LEGO 2K Drive,"6,33"
LEGO City Undercover,"6,58"
LEGO DC Super-Villains,"9,64"
LEGO Harry Potter Collection,"12,12"
LEGO Horizon Adventures,"7,18"
LEGO Jurassic World,"4,75"
LEGO Marvel Super Heroes 2,"11,06"
LEGO Star Wars The Skywalker Saga [NSP],"16,0"
Let's Sing 2025,"3,7"
Limbo,"0,11"
Little Nightmares,"3,05"
Little Nightmares 2,"2,66"
Little Nightmares III,"10,02"
Lonely Mountains Downhill,"0,32"
Lovers in a Dangerous Spacetime,"0,35"
Luigi's Mansion 2 HD,"3,72"
Luigis Mansion 3,"8,52"
Mario + Rabbids Kingdom Battle,"2,51"
Mario and Luigi Brothership.nsp,"9,85"
Mario and Sonic at the Olympic Games Tokyo 2020,"4,47"
Mario Golf Super Rush,"2,86"
Mario Kart 8 Deluxe,"11,24"
Mario Strikers Battle League,"2,79"
Mario Tennis Aces,"1,86"
Mario vs. Donkey Kong,"1,3"
Marvel Ultimate Alliance 3 The Black Order,"14,3"
Marvel vs Capcom Fighting Collection Arcade Classics,"3,16"
Mega Man 11,"2,16"
Mega Man Legacy Collection,"0,35"
Mega Man Legacy Collection 2,"3,22"
Mega Man X Legacy Collection,"2,97"
Mega Man X Legacy Collection 2,"6,63"
Mega Man Zero ZX Legacy Collection,"3,17"
Metal Gear and Metal Gear 2 Solid Snake,"7,46"
Metal Gear Solid - Master Collection Version,"8,11"
Metal Gear Solid 3 Snake Eater - Master Collection Version,"10,76"
Metal Slug collection,"0,73"
Metro 2033 Redux,"6,28"
Metro Last Light Redux,"7,63"
Metroid Dread,"4,13"
Metroid Prime 4 Beyond,"29,75"
Minecraft,"1,4"
Minecraft Dungeons,"6,61"
Minecraft Legends,"7,44"
Minecraft Story Mode - The Complete Adventure,"4,33"
Monopoly for Nintendo Switch,"2,26"
Monopoly for Nintendo Switch plus Monopoly Madness,"7,44"
